current_action,predicted_action,mistral_7b_model_reply,mistral_7b_model_score,phi_3_mini_model_reply,phi_3_mini_model_score,llama_3.2_model_reply,llama_3.2_model_score
put-down paper,dry hand,"Based on the chef's current action of putting down the paper, the next best action for me would be to fetch the dry hand.",,Fetch clean water to wash chef's hands.,,I'll dry the chef's hand.,
get cherry,wipe-off hand,"Based on the chef's current action of getting a cherry, the best help I can provide next is to fetch another cherry or a bowl for the cherries.",,Fetch cherries for the chef.,,I will wash the chef's hand.,
put-on pizza,put trayoven,"Based on the current action, I will fetch the tray oven.",,"Fetch the pizza peel.

This action is chosen because, after putting on the pizza, the next logical step would be to safely remove it from the oven using a pizza peel. This ensures the chef's safety and the integrity of the pizza.",,I'll wash the trayoven.,
mix-in meat,turn-in meat,"Based on the current action of mixing-in meat, the best assistance would be to fetch the next ingredient.",,Fetch the meat from the refrigerator.,,I will wash the meat.,
pick-up mug,dry hand,"Based on the chef's current action of picking up a mug, I would fetch a clean towel to dry their hands.",,Fetch a clean mug for the chef.,,I'll wash the mug.,
put spoonwooden,pick-up glove,"Based on the chef's current action of putting down a wooden spoon, I would fetch the next ingredient or tool for the recipe.",,Fetch the spoon.,,I'll wash the spoonwooden.,
take milksoya,put-into milksoya,"Based on the chef's current action of taking milksoya, I would fetch the required container for mixing.",,Fetch the milksoya.,,I will wash the milksoya.,
rinse glass,put glass,"Based on the current action, I would dry the rinsed glass.",,Fetch the glass.,,I'll wash the glass.,
put-onto piecelemonsqueezer,pick-up piecelemonsqueezer,"Based on the current action, I would fetch more lemons.",,Fetch the piecelemonsqueezer.,,I'll wash the piecelemonsqueezer.,
put-down spatula,close containerfood,"Based on the chef's current action of put-down spatula, I will fetch the next container for preparation.",,Fetch the spatula for the chef.,,"### action: close containerfood
### action list: wash, dry, cut, slice, mix, pour, fetch, clean, stabilize, bring",
crack egg,open egg,"Based on the chef's current action, I will prepare the next station with a clean bowl and a fork for cracking the egg into it. (fetch, clean)",,Fetch a fresh egg.,,"### action: wash
### action list: clean, wash, dry, cut, slice, mix, pour, fetch, stabilize, bring",
push-into kale,pick-up kale,"Based on the chef's current action of pushing kale, the best assistance would be to fetch more kale.",,Fetch kale to assist chef.,,I'll wash the kale.,
put-down egg,pour oil,"If the chef is putting down an egg and will pour oil next, I would stabilize the egg.",,Fetch the egg for the chef.,,I'll wash the egg.,
shake bagflour,put-down bagflour,"Mix the flour if needed, then bring next ingredient.",,"Fetch additional ingredients.

Explanation: Since the chef is currently shaking a bag of flour, it's likely they need more flour or other ingredients to proceed with the recipe. Fetching additional ingredients would be the most helpful next action to ensure the chef has everything they need to continue cooking.",,I will wash the bagflour.,
scoop yoghurt,get meat,"Based on the chef's current action of scooping yogurt, I would fetch the next ingredient: get meat.",,Fetch the yogurt container.,,### action: fetch meat,
pick-up spatula,stir broccoli,"Based on the chef's current action of picking up a spatula, I would fetch the pot of broccoli next.",,Fetch the broccoli.,,fetch broccoli.,
dry hand,start fan,"Based on the current action being ""dry hand,"" I would suggest fetching a clean towel for the chef to wipe their hands.",,Fetch clean water to wash chef's hands.,,"### action: start fan
### action list: wash, dry, cut, slice, mix, pour, fetch, clean, stabilize, bring",
close machinewashing,put squash,"Based on the current action of machine washing and the next action being ""put squash,"" I would fetch the squash for the chef.",,Fetch the squash for the chef.,,I'll wash the machine.,
rinse hand,scrape-into chicken,"Based on the chef's current action of rinsing hands, I will fetch a clean towel to dry them.",,Fetch clean utensils for chef.,,I'll wash the chicken.,
throw-off dirt,wipe surface,I'd clean the surface before my chef wipes it.,,Fetch cleaning supplies to assist chef.,,I'll wash the surface.,
put-down garlic,crush garlic,"Based on the current action, I will fetch the garlic press to assist with crushing garlic next.",,Fetch garlic cloves.,,I'll wash the garlic.,
open coverpen,fold paperbaking,"Based on the current action of opening the copper pan, I would fetch the required ingredients for the next action, which is folding paper baking.",,Fetch the coverpen for the chef.,,I'll open the coverpen.,
put-down blade,put-down cloth,"Based on the chef's current action of putting down the blade, the next best action for me would be to fetch the cloth.",,Fetch the knife for the chef.,,I'll wash the blade.,
put tubtupperware,take flour,Fetch the flour for your chef.,,Fetch the flour.,,I'll wash the tubtupperware.,
get boardchopping,end_of_video,"Based on the chef's current action of board chopping, I will fetch the necessary ingredients or tools next.",,Fetch additional chopping tools.,,I will wash the boardchopping knife.,
pick-up dough,turn-over dough,"Based on the chef's current action of picking up dough, the best assistance would be to:

Prepare the surface for dough turning.

This involves ensuring the surface is clean and stable for the chef to easily turn over the dough.",,Fetch the rolling pin to assist with dough flattening.,,"### action: wash

### next action: cut",
shovel-up cucumbersliced,put cucumbersliced,"Based on the chef's current action, I would suggest slicing the cucumbers further if needed.",,Fetch fresh cucumbers to prepare for slicing.,,I'll wash the cucumbers.,
pick-up cutlery,put-down cutlery,"Based on the chef's current action of picking up cutlery, I would fetch additional cutlery or clean the current set if needed.",,Fetch additional ingredients for the chef.,,I will put-down cutlery.,
open packagesausage,pick-up sausage,"Based on the current action, I would fetch the necessary tools for picking up the sausage next.",,Fetch the sausage.,,I will wash the sausage.,
pick-up cutlery,put tupperware,"Based on the chef's current action of picking up cutlery, I will fetch the requested cutlery or additional tools if needed.",,Fetch the cutlery for the chef.,,I'll put the tupperware in the utensil holder.,
put-down peelerpotato,rinse peelerpotato,"Based on the chef's current action, I will prepare the peeler potato by washing it next.",,Fetch peelerpotato.,,I'll wash the peelerpotato.,
pour-into food,put-in tupperware,"Based on the current action, I would fetch the next ingredient or tool for my chef.",,Fetch the Tupperware.,,I will put the food into the tupperware.,
hang-up coverpot,pick-up lidtupperware,"Based on the chef's current action, I will fetch the lid for the pot.",,"Fetch the lid from the coverpot.

This action is chosen because if the lid is missing or not properly placed, it could be the reason the coverpot is hanging up. By fetching the lid, the chef can continue cooking without interruption.",,I'll wash the pot.,
put lidbox,take box,"Based on the chef's current action of putting a lid on a box, I would fetch the next required item.",,Fetch the lidbox.,,I'll wash the lidbox.,
put-down grater,put-down lemon,"Based on the chef's current action of putting down the grater, the best assistance would be to fetch the next ingredient.",,Fetch the lemon.,,I'll grate the lemon and add it to the dish.,
fold matplace,put-away matplace,"Based on the chef's current action of folding a matplace, the best help I can provide next would be to fetch the necessary items for the next task.",,Fetch ingredients for the next step.,,I will put-away the matplate.,
open oven,return oven,"Based on the current action, I would fetch the requested oven mitt or potholder.",,Fetch the baking dish from the oven.,,"### action: return oven
### list: wash, dry, cut, slice, mix, pour, fetch, clean, stabilize, bring",
shake courgette,pick-up spatula,"Based on the chef's current action of shaking a courgette, the best assistance would be to:

1. Wash and dry the courgette.

By performing this action, I will ensure that the courgette is clean and ready for the next step, which is likely to be cooking or preparation using a spatula.",,Fetch the courgette for the chef.,,I'm washing the spatula.,
pick-up colander,put-in green,"Based on the chef's next action being ""put-in green,"" I would fetch the green vegetables.",,Fetch the green vegetables.,,I'll wash the colander.,
pick-up pasta,put-down scissors,"Based on the chef's next action being ""put-down scissors,"" I would fetch a pasta strainer or colander to help drain the pasta.",,Fetch the pasta.,,"### action: put-down scissors
### action list: wash, dry, cut, slice, mix, pour, fetch, clean, stabilize, bring",
close bagcoffee,put bagcoffee,"Based on the current action, I would fetch the next ingredient for my chef.",,Fetch the coffee beans.,,I will wash the bag.,
find garlic,pick-up garlic,"Based on the current action of my chef, I will fetch the garlic.",,Fetch garlic.,,fetch garlic.,
tap-on spatula,stir-in egg,"Based on the chef's current tap-on-spatula action and the potential next action of stir-in-egg, I would suggest mixing. This will ensure the ingredients are well combined before adding the egg.",,Fetch the egg for stir-in.,,I'm washing the spatula.,
take cupmeasuring,wash cupmeasuring,"If chef requests to wash cupmeasuring, I will assist by washing it.",,Fetch clean measuring cup.,,I will wash the cupmeasuring.,
pick-up pottupperware,pick-up packetcoriander,"Based on the chef's current action and the potential next action, I would fetch the packet of coriander.",,Fetch the coriander.,,I'll wash the pottupperware.,
